"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="3376","新日興","89.1","+1","+1.14","2019","19'08/15","3.99","122","118","-28.9","-24.5","-32.9","3","","0","","","","","",""
="3380","明泰","42.4","-0.05","-0.12","2019","19'07/22","1","20.85","19.85","+22.55","+114","+21.55","4","","0","","","","","",""
="3406","玉晶光","417.5","-8.5","-2","2019","19'07/25","3.5","416.5","413","+4.5","+1.09","+1","1","","0","","","","","",""
="3413","京鼎","184","-0.5","-0.27","2019","19'07/22","7","130.5","123.5","+60.5","+49","+53.5","59","","0","","","","","",""
="3416","融程電","119.5","0","0","2019","19'06/24","2.6","55.2","52.6","+66.9","+127","+64.3","75","","0","","","","","",""
="3419","譁裕","19.6","-0.15","-0.76","2019","","0","","","","","","","","0","","","","","",""
="3432","台端","10.1","-0.6","-5.61","2019","19'09/17","0.5","14.3","13.8","-3.7","-26.8","-4.2","265","","0","","","","","",""
="3437","榮創","18.3","-0.2","-1.08","2019","","0","","","","","","","","0","","","","","",""
="3443","創意","1630","+45","+2.84","2019","19'06/03","5","228.5","223.5","+1406.5","+629","+1401.5","14","","0","","","","","",""
="3447","展達","52.7","-1.2","-2.23","2019","","0","","","","","","","","0","","","","","",""
="3450","聯鈞","40.45","-0.75","-1.82","2019","19'07/16","3","59.8","56.8","-16.35","-28.8","-19.35","37","","0","","","","","",""
="3454","晶睿","196.5","-5.5","-2.72","2019","19'08/13","2.5","112","107","+89.5","+83.6","+84.5","741","19'08/13","0.25","112","107","+89.5","+83.6","+84.5","741"
="3481","群創","15.9","-0.2","-1.24","2019","19'07/12","0.06","7.41","7.35","+8.55","+116","+8.49","1","","0","","","","","",""
="3494","誠研","8.85","-0.12","-1.34","2019","","0","","","","","","","","0","","","","","",""
="3501","維熹","55.2","+0.2","+0.36","2019","19'07/31","3.5","54.6","51.1","+4.1","+8.02","+0.6","359","","0","","","","","",""
="3504","揚明光","75.6","-1.7","-2.2","2019","19'07/22","0.5","96.2","95.7","-20.1","-21","-20.6","2","","0","","","","","",""
="3515","華擎","257","+7","+2.8","2019","19'06/27","4","62.7","58.7","+198.3","+338","+194.3","54","","0","","","","","",""
="3518","柏騰","34.5","+0.35","+1.02","2019","","0","","","","","","","","0","","","","","",""
="3528","安馳","54.4","+0.9","+1.68","2019","19'08/27","2.5","39.8","37.3","+17.1","+45.8","+14.6","212","","0","","","","","",""
="3530","晶相光","73.1","-2.2","-2.92","2019","19'07/04","2","82.2","80.2","-7.1","-8.85","-9.1","2","","0","","","","","",""
="3532","台勝科","164","+5.5","+3.47","2019","19'07/10","9","120.5","111.5","+52.5","+47.1","+43.5","68","","0","","","","","",""
="3533","嘉澤","810","-14","-1.7","2019","19'07/31","8.7","234","225.5","+584.5","+259","+576","2","","0","","","","","",""
="3535","晶彩科","19.65","-0.4","-2","2019","","0","","","","","","","","0","","","","","",""
="3543","州巧","22.35","-0.25","-1.11","2019","19'07/23","0.6","15.93","","","","+6.42","19","","0","","","","","",""
="3545","敦泰","71.7","-0.2","-0.28","2019","19'07/16","0.52","23.6","23.05","+48.65","+211","+48.1","1","","0","","","","","",""
="3550","聯穎","16.2","-0.2","-1.22","2019","19'07/18","1","15.8","14.8","+1.4","+9.46","+0.4","287","","0","","","","","",""
="3557","嘉威","61.2","-0.9","-1.45","2019","","0","","","","","","","","0","","","","","",""
="3563","牧德","228","-4","-1.72","2019","19'06/26","27","401","374","-146","-39","-173","20","","0","","","","","",""
="3576","聯合再生","18.25","0","0","2019","","0","","","","","","","","0","","","","","",""
="3583","辛耘","164","-2","-1.2","2019","19'07/23","2.5","65.4","62.9","+101.1","+161","+98.6","5","","0","","","","","",""
="3588","通嘉","50","+0.3","+0.6","2019","19'08/26","0.75","23.7","22.95","+27.05","+118","+26.3","3","","0","","","","","",""
="3591","艾笛森","25.7","-0.3","-1.15","2019","19'07/18","0.3","14.45","14.15","+11.55","+81.6","+11.25","3","","0","","","","","",""
="3592","瑞鼎","315.5","-2","-0.63","2019","19'06/28","7","91.06","","","","+224.44","21","","0","","","","","",""
="3593","力銘","12.35","+0.15","+1.23","2019","","0","","","","","","","","0","","","","","",""
="3596","智易","132","-3","-2.22","2019","19'08/02","3.5","106","102.5","+29.5","+28.8","+26","8","","0","","","","","",""
="3605","宏致","29.3","-0.6","-2.01","2019","19'07/25","0.7","22.55","21.85","+7.45","+34.1","+6.75","2","","0","","","","","",""
="3607","谷崧","16.7","-0.5","-2.91","2019","19'07/04","0.5","19.85","19.35","-2.65","-13.7","-3.15","443","","0","","","","","",""
="3617","碩天","214","+4.5","+2.15","2019","19'07/18","5.3","97.7","92.4","+121.6","+132","+116.3","50","","0","","","","","",""
="3622","洋華","36.25","+0.65","+1.83","2019","19'08/23","0.5","18.3","17.8","+18.45","+104","+17.95","3","","0","","","","","",""
="3645","達邁","46.75","+1.25","+2.75","2019","19'07/24","1.5","52.1","48.2","-1.45","-3.01","-5.35","48","19'07/24","0.5","52.1","48.2","-1.45","-3.01","-5.35","48"
="3652","精聯","33.4","-3.1","-8.49","2019","19'07/19","0.7","16.75","16.05","+17.35","+108","+16.65","67","","0","","","","","",""
