"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="0050","元大台灣50","129.45","+0.25","+0.19","2017","17'07/31","2.4","82.1","81.4","+48.05","+59","+47.35","7","","0","","","","","",""
="0051","元大中型100","69.75","+1","+1.45","2017","17'11/23","0.85","32.4","31.55","+38.2","+121","+37.35","31","","0","","","","","",""
="0052","富邦科技","117.7","+0.65","+0.56","2017","17'05/03","1.41","46.22","44.81","+72.89","+163","+71.48","15","","0","","","","","",""
="0053","元大電子","68.3","+0.5","+0.74","2017","17'11/23","1.15","38.5","37.35","+30.95","+82.9","+29.8","458","","0","","","","","",""
="0055","元大MSCI金融","23.21","+0.11","+0.48","2017","17'11/23","0.5","16.76","16.26","+6.95","+42.7","+6.45","32","","0","","","","","",""
="0056","元大高股息","34.3","+0.5","+1.48","2017","17'10/30","0.95","26.39","25.44","+8.86","+34.8","+7.91","61","","0","","","","","",""
="0057","富邦摩台","94.4","+0.3","+0.32","2017","","0","","","","","","","","0","","","","","",""
="0061","元大寶滬深","18.21","+0.06","+0.33","2017","","0","","","","","","","","0","","","","","",""
="006203","元大MSCI台灣","63.1","+0.25","+0.4","2017","17'07/31","1","38.13","37.83","+25.27","+66.8","+24.97","12","","0","","","","","",""
="006204","永豐臺灣加權","87.5","+0.5","+0.57","2017","17'10/31","1.7","55.45","53.75","+33.75","+62.8","+32.05","59","","0","","","","","",""
="006205","富邦上証","30.21","+0.1","+0.33","2017","","0","","","","","","","","0","","","","","",""
="006206","元大上證50","28.8","+0.15","+0.52","2017","","0","","","","","","","","0","","","","","",""
="006207","復華滬深","23.96","+0.05","+0.21","2017","","0","","","","","","","","0","","","","","",""
