"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="00701","國泰股利精選30","25.49","+0.34","+1.35","2020","20'01/30","1.66","25.12","23.46","+2.03","+8.65","+0.37","361","","0","","","","","",""
="00702","國泰標普低波高息","21.16","+0.12","+0.57","2020","20'07/20","0.44","16.49","16.28","+4.88","+30","+4.67","545","","0","","","","","",""
="00703","台新MSCI中國","15.46","+0.1","+0.65","2020","","0","","","","","","","","0","","","","","",""
"00706L","期元大S&P日圓正2","8.67","+0.14","+1.64","2020","","0","","","","","","","","0","","","","","",""
"00707R","期元大S&P日圓反1","25.43","-0.25","-0.97","2020","","0","","","","","","","","0","","","","","",""
"00708L","期元大S&P黃金正2","26.28","+0.28","+1.08","2020","","0","","","","","","","","0","","","","","",""
="00709","富邦歐洲","25.61","+0.19","+0.75","2020","","0","","","","","","","","0","","","","","",""
"00710B","復華彭博非投等債","18.06","+0.01","+0.06","2020","20'12/17","1.02","18.59","18.35","-0.29","-1.58","-0.53","715","","0","","","","","",""
"00711B","復華彭博新興債","16.15","+0.01","+0.06","2020","20'12/17","0.91","21.99","21.81","-5.66","-26","-5.84","8","","0","","","","","",""
="00712","復華富時不動產","9.96","+0.04","+0.4","2020","20'12/17","1.06","12.68","12.5","-2.54","-20.3","-2.72","97","","0","","","","","",""
="00713","元大台灣高息低波","45.51","+0.16","+0.35","2020","20'11/20","1.7","35.38","33.68","+11.83","+35.1","+10.13","36","","0","","","","","",""
="00714","群益道瓊美國地產","19.27","+0.15","+0.78","2020","20'10/21","0.58","18.09","17.98","+1.29","+7.17","+1.18","36","","0","","","","","",""
"00715L","期街口布蘭特正2","13.44","+0.41","+3.15","2020","","0","","","","","","","","0","","","","","",""
="00717","富邦美國特別股","14.75","0","0","2020","20'10/21","0.72","16.76","16.59","-1.84","-11.1","-2.01","823","","0","","","","","",""
="00728","第一金工業30","24.62","-0.07","-0.28","2020","20'01/30","0.74","21.85","21.11","+3.51","+16.6","+2.77","109","","0","","","","","",""
="00730","富邦臺灣優質高息","18.89","0","0","2020","20'10/21","0.84","17.4","16.55","+2.34","+14.1","+1.49","24","","0","","","","","",""
="00731","復華富時高息低波","65.05","+1.1","+1.72","2020","20'11/18","2.09","48.91","46.82","+18.23","+38.9","+16.14","31","","0","","","","","",""
="00733","富邦臺灣中小","55.95","+2.1","+3.9","2020","20'10/21","0.36","24.28","23.92","+32.03","+134","+31.67","1","","0","","","","","",""
="00735","國泰臺韓科技","30.26","+0.32","+1.07","2020","20'01/30","0.38","22.47","22.09","+8.17","+37","+7.79","108","","0","","","","","",""
="00736","國泰新興市場","20.18","+0.06","+0.3","2020","20'01/30","0.25","21.12","20.87","-0.69","-3.31","-0.94","194","","0","","","","","",""
="00737","國泰AI+Robo","31.43","+0.13","+0.42","2020","","0","","","","","","","","0","","","","","",""
"00738U","期元大道瓊白銀","22.69","-0.02","-0.09","2020","","0","","","","","","","","0","","","","","",""
="00739","元大MSCI A股","22.14","+0.02","+0.09","2020","20'10/28","0.5","25.51","25.01","-2.87","-11.5","-3.37","5","","0","","","","","",""
="00752","中信中國50","18.25","+0.15","+0.83","2020","","0","","","","","","","","0","","","","","",""
"00753L","中信中國50正2","9.45","+0.19","+2.05","2020","","0","","","","","","","","0","","","","","",""
="00757","統一FANG+","58.4","0","0","2020","","0","","","","","","","","0","","","","","",""
="00762","元大全球AI","44.54","+0.35","+0.79","2020","","0","","","","","","","","0","","","","","",""
"00763U","期街口道瓊銅","24.09","-0.14","-0.58","2020","","0","","","","","","","","0","","","","","",""
="00770","國泰北美科技","34.77","+0.11","+0.32","2020","20'01/30","0.76","26.53","25.77","+9","+34.9","+8.24","7","","0","","","","","",""
="00771","元大US高息特別股","16.13","+0.03","+0.19","2020","20'11/20","0.74","19.31","19.13","-3","-15.7","-3.18","144","","0","","","","","",""
"00775B","新光投等債15+","33.72","+0.01","+0.03","2020","20'11/19","1.01","45.38","45.05","-11.33","-25.1","-11.66","3","","0","","","","","",""
="00783","富邦中証500","20.09","0","0","2020","","0","","","","","","","","0","","","","","",""
="00830","國泰費城半導體","33.25","-0.07","-0.21","2020","","0","","","","","","","","0","","","","","",""
="00850","元大臺灣ESG永續","34.27","+0.22","+0.65","2020","20'11/20","0.9","28.23","27.33","+6.94","+25.4","+6.04","12","","0","","","","","",""
="00851","台新全球AI","33","+0.08","+0.24","2020","20'10/23","0.28","27.88","27.6","+5.4","+19.6","+5.12","11","","0","","","","","",""
"00852L","國泰美國道瓊正2","19.71","+0.33","+1.7","2020","","0","","","","","","","","0","","","","","",""
="00861","元大全球未來通訊","31.61","+0.01","+0.03","2020","","0","","","","","","","","0","","","","","",""
"00865B","國泰US短期公債","41.79","-0.12","-0.29","2020","","0","","","","","","","","0","","","","","",""
="00875","國泰網路資安","28.08","+0.12","+0.43","","","","","","","","","","","","","","","","",""
="00876","元大全球5G","30.48","+0.01","+0.03","","","","","","","","","","","","","","","","",""
="00878","國泰永續高股息","20.19","+0.39","+1.97","2020","20'11/17","0.05","15.1","15.05","+5.14","+34.2","+5.09","1","","0","","","","","",""
="00881","國泰台灣5G+","17.31","+0.2","+1.17","","","","","","","","","","","","","","","","",""
="00882","中信中國高股息","11.53","0","0","","","","","","","","","","","","","","","","",""
="00885","富邦越南","12.54","-0.04","-0.32","","","","","","","","","","","","","","","","",""
="00891","中信關鍵半導體","13.72","+0.01","+0.07","","","","","","","","","","","","","","","","",""
="00892","富邦台灣半導體","12.59","-0.04","-0.32","","","","","","","","","","","","","","","","",""
="00893","國泰智能電動車","17.85","-0.01","-0.06","","","","","","","","","","","","","","","","",""
="00894","中信小資高價30","14.83","+0.04","+0.27","","","","","","","","","","","","","","","","",""
="00895","富邦未來車","19.39","+0.01","+0.05","","","","","","","","","","","","","","","","",""
="00896","中信綠能及電動車","16.57","+0.2","+1.22","","","","","","","","","","","","","","","","",""
="00897","富邦基因免疫生技","7.84","-0.03","-0.38","","","","","","","","","","","","","","","","",""
="00898","國泰基因免疫革命","7.69","0","0","","","","","","","","","","","","","","","","",""
="00899","FT潔淨能源","21.55","+0.09","+0.42","","","","","","","","","","","","","","","","",""
="00900","富邦特選高股息30","12.86","+0.2","+1.58","","","","","","","","","","","","","","","","",""
="00901","永豐智能車供應鏈","14.69","+0.13","+0.89","","","","","","","","","","","","","","","","",""
="00902","中信電池及儲能","12.57","-0.04","-0.32","","","","","","","","","","","","","","","","",""
="00903","富邦元宇宙","12.35","+0.22","+1.81","","","","","","","","","","","","","","","","",""
="00904","新光臺灣半導體30","13.03","+0.01","+0.08","","","","","","","","","","","","","","","","",""
="00905","FT臺灣Smart","10.03","+0.07","+0.7","","","","","","","","","","","","","","","","",""
="00907","永豐優息存股","14.62","-0.05","-0.34","","","","","","","","","","","","","","","","",""
="00908","富邦入息REITs+","12.38","+0.18","+1.48","","","","","","","","","","","","","","","","",""
="00909","國泰數位支付服務","19.86","+0.26","+1.33","","","","","","","","","","","","","","","","",""
="00910","第一金太空衛星","16.5","+0.19","+1.16","","","","","","","","","","","","","","","","",""
="00911","兆豐洲際半導體","20.65","-0.07","-0.34","","","","","","","","","","","","","","","","",""
="00912","中信臺灣智慧50","15.42","+0.04","+0.26","","","","","","","","","","","","","","","","",""
="00913","兆豐台灣晶圓製造","17.37","+0.05","+0.29","","","","","","","","","","","","","","","","",""
="00915","凱基優選高股息30","18.96","+0.25","+1.34","","","","","","","","","","","","","","","","",""
="00916","國泰全球品牌50","18.18","+0.09","+0.5","","","","","","","","","","","","","","","","",""
="00917","中信特選金融","15.57","+0.12","+0.78","","","","","","","","","","","","","","","","",""
="00918","大華優利高填息30","20.34","+0.26","+1.29","","","","","","","","","","","","","","","","",""
="00919","群益台灣精選高息","19.85","+0.05","+0.25","","","","","","","","","","","","","","","","",""
="00920","富邦ESG綠色電力","16.75","+0.05","+0.3","","","","","","","","","","","","","","","","",""
="00921","兆豐龍頭等權重","17.22","+0.07","+0.41","","","","","","","","","","","","","","","","",""
="00922","國泰台灣領袖50","16.29","+0.13","+0.8","","","","","","","","","","","","","","","","",""
="00923","群益台灣ESG低碳","16.41","+0.11","+0.67","","","","","","","","","","","","","","","","",""
="00924","復華S&P500成長","16.66","+0.02","+0.12","","","","","","","","","","","","","","","","",""
="00925","新光標普電動車","18.47","+0.08","+0.44","","","","","","","","","","","","","","","","",""
="00926","凱基全球菁英55","15.91","+0.06","+0.38","","","","","","","","","","","","","","","","",""
="00927","群益半導體收益","15.24","+0.03","+0.2","","","","","","","","","","","","","","","","",""
="00929","復華台灣科技優息","15.91","+0.09","+0.57","","","","","","","","","","","","","","","","",""
"01001T","土銀富邦R1","14.8","0","0","2020","20'04/24","0.37","16.6","16.23","-1.43","-8.81","-1.8","10","","0","","","","","",""
"01002T","土銀國泰R1","17.85","0","0","2020","20'05/20","0.4","17.2","16.79","+1.06","+6.31","+0.65","49","","0","","","","","",""
"01003T","兆豐新光R1","21.61","+0.01","+0.05","2020","20'04/24","0.38","18.6","18.21","+3.4","+18.7","+3.01","1","","0","","","","","",""
"01004T","土銀富邦R2","14.2","0","0","2020","20'09/24","0.39","16.44","16.24","-2.04","-12.6","-2.24","51","","0","","","","","",""
"01007T","兆豐國泰R2","17.3","+0.11","+0.64","2020","20'11/19","0.43","19.19","18.96","-1.66","-8.76","-1.89","4","","0","","","","","",""
"01009T","王道圓滿R1","8.5","-0.02","-0.23","2020","20'09/16","0.3","9.86","9.7","-1.2","-12.4","-1.36","78","","0","","","","","",""
"01010T","京城樂富R1","10","0","0","2020","20'08/31","0.4","10.36","10.16","-0.16","-1.57","-0.36","109","","0","","","","","",""
="020000","富邦特選蘋果N","9.1","+0.22","+2.48","2020","","0","","","","","","","","0","","","","","",""
="020002","元富新中國N","12.58","+0.09","+0.72","2020","","0","","","","","","","","0","","","","","",""
="020007","凱基臺灣500N","35.34","0","0","2020","","0","","","","","","","","0","","","","","",""
="020011","統一微波高息20N","7.89","0","0","2020","","0","","","","","","","","0","","","","","",""
="020012","富邦行動通訊N","8.22","0","0","2020","","0","","","","","","","","0","","","","","",""
="020015","統一MSCI美低波N","14.71","0","0","","","","","","","","","","","","","","","","",""
="020016","統一MSCI美科技N","21.08","0","0","","","","","","","","","","","","","","","","",""
="020018","統一價值成長30N","17.97","+0.24","+1.35","","","","","","","","","","","","","","","","",""
="020019","統一特選台灣5GN","13.59","+0.02","+0.15","","","","","","","","","","","","","","","","",""
"02001L","富邦蘋果正二N","16.62","+0.81","+5.12","","","","","","","","","","","","","","","","",""
"02001R","富邦蘋果反一N","2.12","-0.06","-2.75","","","","","","","","","","","","","","","","",""
"02001S","策元大加權策略N","5.56","0","0","","","","","","","","","","","","","","","","",""
="020020","元大台股領航N","7.73","+0.1","+1.31","","","","","","","","","","","","","","","","",""
="020022","元大電動車N","8.43","+0.25","+3.06","","","","","","","","","","","","","","","","",""
="020028","元大特選電動車N","8.12","+0.22","+2.78","","","","","","","","","","","","","","","","",""
="020029","元大ESG高股息N","5.92","+0.07","+1.2","","","","","","","","","","","","","","","","",""
="020030","統一智慧電動車N","4.8","+0.02","+0.42","","","","","","","","","","","","","","","","",""
="020031","統一IC設計臺灣N","4.44","-0.02","-0.45","","","","","","","","","","","","","","","","",""
="020032","元大綠能N","5.68","+0.06","+1.07","","","","","","","","","","","","","","","","",""
="020034","元大IC設計N","5.76","+0.02","+0.35","","","","","","","","","","","","","","","","",""
="020036","元大金融配息N","5.25","+0.02","+0.38","","","","","","","","","","","","","","","","",""
="020037","元大金融高股息N","5.26","+0.04","+0.77","","","","","","","","","","","","","","","","",""
="020038","元大ESG配息N","5.27","+0.07","+1.35","","","","","","","","","","","","","","","","",""
="1101","台泥","36.6","+0.05","+0.14","2020","20'08/12","2.5","46.5","41.9","-5.3","-12.6","-9.9","147","20'08/12","0.5","46.5","41.9","-5.3","-12.6","-9.9","147"
"1101B","台泥乙特","47.85","+0.1","+0.21","2020","20'08/12","1.75","54.9","53.2","-5.35","-10.1","-7.05","","","0","","","","","",""
="1102","亞泥","43.95","+0.05","+0.11","2020","20'07/23","3","46.3","43.3","+0.65","+1.5","-2.35","161","","0","","","","","",""
="1103","嘉泥","21.45","-0.15","-0.69","2020","20'07/23","1","18","17","+4.45","+26.2","+3.45","86","","0","","","","","",""
="1104","環泥","30.15","+0.25","+0.84","2020","20'07/16","1","18.4","17.4","+12.75","+73.3","+11.75","23","","0","","","","","",""
="1108","幸福","16.2","-0.35","-2.11","2020","20'08/27","0.15","10.45","10.3","+5.9","+57.3","+5.75","1","","0","","","","","",""
="1109","信大","18.05","0","0","2020","20'07/16","1.1","18.1","17","+1.05","+6.18","-0.05","23","","0","","","","","",""
="1110","東泥","18.9","-0.25","-1.31","2020","20'07/27","0.1","16.5","16.4","+2.5","+15.2","+2.4","41","","0","","","","","",""
="1201","味全","19.85","-0.1","-0.5","2020","20'07/21","1.33","22.45","21.1","-1.25","-5.92","-2.6","108","","0","","","","","",""
="1203","味王","42.15","-0.05","-0.12","2020","20'09/03","1","32.3","31.3","+10.85","+34.7","+9.85","1","","0","","","","","",""
="1210","大成","51.8","-0.2","-0.38","2020","20'08/28","2.2","48.95","46.75","+5.05","+10.8","+2.85","84","","0","","","","","",""
="1213","大飲","6.53","0","0","2020","","0","","","","","","","","0","","","","","",""
="1215","卜蜂","91.3","-0.7","-0.76","2020","20'06/29","4","72.2","68.2","+23.1","+33.9","+19.1","31","","0","","","","","",""
="1216","統一","74.8","0","0","2020","20'08/06","2.5","70.7","68.2","+6.6","+9.68","+4.1","144","","0","","","","","",""
="1217","愛之味","12.65","-0.15","-1.17","2020","","0","","","","","","","","0","","","","","",""
="1218","泰山","25.6","-0.25","-0.97","2020","20'06/09","0.9","25.25","24.35","+1.25","+5.13","+0.35","132","","0","","","","","",""
="1219","福壽","20.25","-0.3","-1.46","2020","20'07/08","0.4","21.5","21.1","-0.85","-4.03","-1.25","7","","0","","","","","",""
="1220","台榮","14.35","-0.35","-2.38","2020","20'07/28","0.6","11.9","11.3","+3.05","+27","+2.45","54","","0","","","","","",""
="1225","福懋油","55.5","-0.2","-0.36","2020","20'08/12","1.3","35.9","34.6","+20.9","+60.4","+19.6","92","","0","","","","","",""
="1227","佳格","41.15","-0.1","-0.24","2020","20'07/16","2.65","67.6","65","-23.85","-36.7","-26.45","680","","0","","","","","",""
="1229","聯華","69.2","-0.2","-0.29","2020","20'08/12","1.6","47.15","39.25","+29.95","+76.3","+22.05","154","20'08/12","1.6","47.15","39.25","+29.95","+76.3","+22.05","154"
="1231","聯華食","99.8","+1.4","+1.42","2020","20'07/28","1.6","44.8","41.15","+58.65","+143","+55","77","20'07/28","0.5","44.8","41.15","+58.65","+143","+55","77"
="1232","大統益","146","+0.5","+0.34","2020","20'07/09","5","127","122","+24","+19.7","+19","79","","0","","","","","",""
="1233","天仁","37.75","-0.05","-0.13","2020","20'07/10","1.6","38.25","36.65","+1.1","+3","-0.5","723","","0","","","","","",""
="1234","黑松","39.85","-0.3","-0.75","2020","20'07/16","1.7","34.1","32.4","+7.45","+23","+5.75","169","","0","","","","","",""
="1235","興泰","81","-1","-1.22","2020","20'12/15","0.55","26.55","24.65","+56.35","+229","+54.45","10","20'12/15","0.55","26.55","24.65","+56.35","+229","+54.45","10"
="1236","宏亞","23.8","0","0","2020","20'07/14","0.3","13","12.7","+11.1","+87.4","+10.8","3","","0","","","","","",""
="1256","鮮活果汁-KY","319","-1","-0.31","2020","20'07/14","6.2","213.5","207.5","+111.5","+53.7","+105.5","23","","0","","","","","",""
="1301","台塑","82.4","0","0","2020","20'07/02","4.4","87.6","83.2","-0.8","-0.96","-5.2","92","","0","","","","","",""
="1303","南亞","69.4","-0.2","-0.29","2020","20'07/07","2.2","67","64.8","+4.6","+7.1","+2.4","105","","0","","","","","",""
="1304","台聚","22.6","-0.5","-2.16","2020","20'07/23","0.5","12.55","12.05","+10.55","+87.6","+10.05","18","","0","","","","","",""
="1305","華夏","22.4","-0.25","-1.1","2020","20'07/23","0.5","19.2","17.8","+4.6","+25.8","+3.2","19","20'07/23","0.5","19.2","17.8","+4.6","+25.8","+3.2","19"
="1307","三芳","22.35","-0.5","-2.19","2020","20'08/27","0.8","21.85","21.05","+1.3","+6.18","+0.5","8","","0","","","","","",""
="1308","亞聚","25.65","-0.5","-1.91","2020","20'07/23","0.6","19.6","18.1","+7.55","+41.7","+6.05","33","20'07/23","0.5","19.6","18.1","+7.55","+41.7","+6.05","33"
="1309","台達化","19.65","-0.3","-1.5","2020","20'07/23","0.3","16.2","15.45","+4.2","+27.2","+3.45","1","20'07/23","0.3","16.2","15.45","+4.2","+27.2","+3.45","1"
="1310","台苯","15.25","-0.45","-2.87","2020","20'07/17","1","16.75","15.75","-0.5","-3.17","-1.5","37","","0","","","","","",""
="1312","國喬","18.25","-0.3","-1.62","2020","","0","","","","","","","","0","","","","","",""
"1312A","國喬特","28","0","0","2020","20'07/14","0.6","30.25","29.65","-1.65","-5.56","-2.25","25","","0","","","","","",""
="1313","聯成","14.2","-0.1","-0.7","2020","20'03/31","0.2","8.13","7.93","+6.27","+79.1","+6.07","1","","0","","","","","",""
="1314","中石化","9.45","-0.1","-1.05","2020","20'08/11","0.3","8.6","8.3","+1.15","+13.9","+0.85","1","","0","","","","","",""
="1315","達新","70.9","+0.2","+0.28","2020","20'11/27","7.65","77.1","73.1","-2.2","-3.01","-6.2","104","","0","","","","","",""
="1316","上曜","11.9","-0.1","-0.83","2020","","0","","","","","","","","0","","","","","",""
="1319","東陽","51.4","0","0","2020","20'06/23","1.8","39.8","38","+13.4","+35.3","+11.6","50","","0","","","","","",""
="1321","大洋","34.9","+0.15","+0.43","2020","","0","","","","","","","","0","","","","","",""
="1323","永裕","31.7","+0.05","+0.16","2020","20'07/10","1.6","33.7","32.1","-0.4","-1.25","-2","26","","0","","","","","",""
="1324","地球","11.7","+0.25","+2.18","2020","20'08/24","0.3","10.25","9.95","+1.75","+17.6","+1.45","11","","0","","","","","",""
="1325","恆大","22.95","-0.6","-2.55","2020","20'07/16","0.3","153.5","153","-130.05","-85","-130.55","1","","0","","","","","",""
="1326","台化","64.3","+0.1","+0.16","2020","20'07/01","3.8","75.7","71.9","-7.6","-10.6","-11.4","93","","0","","","","","",""
="1337","再生-KY","8.81","-0.41","-4.45","2020","","0","","","","","","","","0","","","","","",""
="1338","廣華-KY","43.05","+0.05","+0.12","2020","20'07/09","3.5","59.1","55.6","-12.55","-22.6","-16.05","4","","0","","","","","",""
="1339","昭輝","44.7","-0.25","-0.56","2020","20'08/26","2","43","41","+3.7","+9.02","+1.7","1","","0","","","","","",""
="1340","勝悅-KY","13.1","-0.35","-2.6","2020","","0","","","","","","","","0","","","","","",""
="1341","富林-KY","67.8","-0.1","-0.15","2020","20'06/29","5","68","63","+4.8","+7.62","-0.2","184","","0","","","","","",""
="1342","八貫","114","-3","-2.56","2020","20'06/30","2.5","90.9","","","","+23.1","568","","0","","","","","",""
="1402","遠東新","32.3","-0.15","-0.46","2020","20'07/27","1.5","29.2","27.7","+4.6","+16.6","+3.1","143","","0","","","","","",""
="1409","新纖","16.9","-0.05","-0.29","2020","20'09/01","0.55","12.2","11.65","+5.25","+45.1","+4.7","57","","0","","","","","",""
="1410","南染","37.35","0","0","2020","20'06/23","1","34.05","33.05","+4.3","+13","+3.3","8","","0","","","","","",""
="1413","宏洲","9.17","-0.01","-0.11","2020","","0","","","","","","","","0","","","","","",""
="1414","東和","17.5","+0.05","+0.29","2020","20'07/13","0.2","7.21","7.01","+10.49","+150","+10.29","32","","0","","","","","",""
